"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"22",11,108334,11,NA,NA,"Open Water","Open Water",NA,NA,NA,NA,NA,NA,NA,NA,0,0,255,0,0,1,24093,0.6
"23",775,125042,10600,2,"10600_1_2_7","East Cascades Oak-Ponderosa Pine Forest and Woodland","Conifer",383,644,31,28,7,4,89,"I-C",205,102,102,0.803921569,0.4,0.4,27809,0.6
"24",840,109952,11540,7,"11540_1_7_8_9","Inter-Mountain Basins Montane Riparian Systems","Riparian",99,NA,NA,99,100,NA,NA,"IV-A",154,156,117,0.603921569,0.611764706,0.458823529,24453,0.6
"25",768,92441,10310,2,"10310_2_3_4_5_6_12","California Montane Jeffrey Pine(-Ponderosa Pine) Woodland","Conifer",165,84,11,9,6,11,83,"I-B",167,70,0,0.654901961,0.274509804,0,20558,0.5
"26",838,93300,11520,7,"11520_2_3_7","California Montane Riparian Systems","Riparian",64,79,NA,35,55,45,NA,"I-C",65,150,167,0.254901961,0.588235294,0.654901961,20749,0.5
"27",2722,95502,10431,3,"10431_2_3_6_7","Mediterranean California Mixed Evergreen Forest-Interior","Conifer",165,46,23,14,9,30,61,"I-B",164,196,143,0.643137255,0.768627451,0.560784314,21239,0.5
"28",551,76343,10270,3,"10270_2_3_7","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Conifer",337,32,12,8,3,26,71,"I-B",158,187,215,0.619607843,0.733333333,0.843137255,16978,0.4
"29",766,68808,10290,2,"10290_2_3_4_5_6_7_12","Mediterranean California Mixed Oak Woodland","Hardwood",285,33,11,8,3,25,72,"I-B",220,100,100,0.862745098,0.392156863,0.392156863,15303,0.4
"30",771,75183,10360,2,"10360_1_2","North Pacific Hypermaritime Sitka Spruce Forest","Conifer",657,NA,NA,657,100,NA,NA,"V-B",213,127,227,0.835294118,0.498039216,0.890196078,16720,0.4
"31",785,76081,11700,2,"11700_2_3_7","Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral","Conifer",201,NA,14,13,7,NA,93,"I-B",210,235,0,0.823529412,0.921568627,0,16920,0.4
"32",799,74016,10290,7,"10290_2_3_4_5_6_7_12","Mediterranean California Mixed Oak Woodland","Hardwood",285,33,11,8,3,25,72,"I-B",220,100,100,0.862745098,0.392156863,0.392156863,16461,0.4
"33",843,73359,11582,7,"11582_1_2_7","North Pacific Montane Riparian Woodland and Shrubland-Dry","Riparian",465,233,NA,155,33,67,NA,"III-B",172,194,193,0.674509804,0.760784314,0.756862745,16315,0.4
"34",550,56573,10220,3,"10220_2_3_6_7","Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland","Conifer",231,70,11,9,5,13,82,"I-B",237,139,90,0.929411765,0.545098039,0.352941176,12582,0.3
"35",556,61282,10320,3,"10320_2_3_7","Mediterranean California Red Fir Forest","Conifer",189,58,58,25,14,43,43,"I-C",255,59,127,1,0.231372549,0.498039216,13629,0.3
"36",777,50472,11200,2,"11200_1_2_7","Willamette Valley Upland Prairie and Savanna","Hardwood",288,50,13,10,4,19,77,"I-B",215,215,158,0.843137255,0.843137255,0.619607843,11225,0.3
"37",31,48058,31,NA,NA,"Barren-Rock/Sand/Clay","Barren-Rock/Sand/Clay",NA,NA,NA,NA,NA,NA,NA,NA,191,191,191,0.749019608,0.749019608,0.749019608,10688,0.2
"38",761,40298,10150,2,"10150_2_3_4","California Coastal Redwood Forest","Conifer",408,NA,32,30,7,NA,93,"I-C",168,0,0,0.658823529,0,0,8962,0.2
"39",781,41092,11560,2,"11560_1_2_7","North Pacific Lowland Riparian Forest and Shrubland","Riparian",749,NA,NA,749,100,NA,NA,"V-B",177,179,125,0.694117647,0.701960784,0.490196078,9139,0.2
"40",827,34078,10980,7,"10980_7","California Montane Woodland and Chaparral","Shrubland",49,197,234,34,68,17,15,"II-C",210,170,50,0.823529412,0.666666667,0.196078431,7579,0.2
"41",845,36219,11670,7,"11670_1_7_9","Rocky Mountain Poor-Site Lodgepole Pine Forest","Conifer",111,113,NA,56,50,50,NA,"III-A",85,255,0,0.333333333,1,0,8055,0.2
"42",850,33050,11740,7,"11740_1_7","North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest","Conifer",334,308,NA,160,48,52,NA,"III-B",217,189,252,0.850980392,0.741176471,0.988235294,7350,0.2
"43",549,16701,10210,3,"10210_2_3_6_7","Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland","Conifer",229,70,11,9,5,13,82,"I-B",245,181,149,0.960784314,0.709803922,0.584313725,3714,0.1
"44",563,15362,10980,3,"10980_3","California Montane Woodland and Chaparral","Shrubland",94,54,NA,34,37,63,NA,"I-C",210,170,50,0.823529412,0.666666667,0.196078431,3416,0.1
"45",782,21347,11570,2,"11570_1_2","North Pacific Swamp Systems","Riparian",NA,NA,NA,NA,NA,NA,NA,NA,70,85,137,0.274509804,0.333333333,0.537254902,4747,0.1
"46",783,12134,11581,2,"11581_1_2_7","North Pacific Montane Riparian Woodland and Shrubland-Wet","Riparian",1888,1598,NA,865,46,54,NA,"V-B",188,207,212,0.737254902,0.811764706,0.831372549,2699,0.1
"47",784,20574,11582,2,"11582_1_2_7","North Pacific Montane Riparian Woodland and Shrubland-Dry","Riparian",465,233,NA,155,33,67,NA,"III-B",172,194,193,0.674509804,0.760784314,0.756862745,4576,0.1
"48",792,19101,10170,7,"10170_6_7_8_9_12_18","Columbia Plateau Western Juniper Woodland and Savanna","Conifer",445,272,NA,169,38,62,NA,"III-B",14,245,98,0.054901961,0.960784314,0.384313725,4248,0.1
"49",793,13694,10180,7,"10180_1_7","East Cascades Mesic Montane Mixed-Conifer Forest and Woodland","Conifer",253,129,276,65,26,50,24,"III-A",95,158,180,0.37254902,0.619607843,0.705882353,3045,0.1
"50",795,23379,10210,7,"10210_2_3_6_7","Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland","Conifer",229,70,11,9,5,13,82,"I-B",245,181,149,0.960784314,0.709803922,0.584313725,5199,0.1
